date,state,positive,negative,hospitalized_currently,hospitalized_cumulative,in_icu_currently,in_icu_cumulative,on_ventilator_currently,on_ventilator_cumulative,recovered,data_quality_grade,death,total_test_results
22-01-2020,WA,2,0,,,,,,,,,,2
23-01-2020,WA,2,0,,,,,,,,,,2
24-01-2020,WA,2,0,,,,,,,,,,2
25-01-2020,WA,2,0,,,,,,,,,,2
26-01-2020,WA,2,0,,,,,,,,,,2
27-01-2020,WA,2,0,,,,,,,,,,2
28-01-2020,WA,2,0,,,,,,,,,,2
29-01-2020,WA,3,0,,,,,,,,,,3
30-01-2020,WA,3,0,,,,,,,,,,3
31-01-2020,WA,3,0,,,,,,,,,,3
01-02-2020,WA,4,0,,,,,,,,,,4
02-02-2020,WA,6,0,,,,,,,,,,6
03-02-2020,WA,7,0,,,,,,,,,,7
04-02-2020,WA,8,0,,,,,,,,,,8
05-02-2020,WA,8,0,,,,,,,,,,8
06-02-2020,WA,11,0,,,,,,,,,,11
07-02-2020,WA,12,0,,,,,,,,,,12
08-02-2020,WA,13,0,,,,,,,,,,13
09-02-2020,WA,13,0,,,,,,,,,,13
10-02-2020,WA,16,0,,,,,,,,,,16
11-02-2020,WA,17,0,,,,,,,,,,17
12-02-2020,WA,18,0,,,,,,,,,,18
13-02-2020,WA,18,0,,,,,,,,,,18
14-02-2020,WA,21,0,,,,,,,,,,21
15-02-2020,WA,28,0,,,,,,,,,,28
16-02-2020,WA,35,0,,,,,,,,,,35
17-02-2020,WA,50,0,,,,,,,,,,50
18-02-2020,WA,59,0,,,,,,,,,,59
19-02-2020,WA,69,0,,,,,,,,,,69
20-02-2020,WA,82,0,,,,,,,,,,82
21-02-2020,WA,93,0,,,,,,,,,,93
22-02-2020,WA,106,0,,,,,,,,,,106
23-02-2020,WA,122,0,,,,,,,,,,122
24-02-2020,WA,148,0,,,,,,,,,,148
25-02-2020,WA,179,0,,,,,,,,,,179
26-02-2020,WA,208,0,,,,,,,,,2,208
27-02-2020,WA,235,0,,,,,,,,,2,235
28-02-2020,WA,275,0,,,,,,,,,4,275
29-02-2020,WA,299,17,,,,,,,,,5,316
01-03-2020,MI,9,,,,,,,,,,,9
01-03-2020,MI,9,,,,,,,,,,,9
01-03-2020,RI,2,2,,,,,,,,,,4
01-03-2020,WA,377,12,,,,,,,,,8,389
02-03-2020,MI,18,,,,,,,,,,,18
02-03-2020,MI,18,,,,,,,,,,,18
02-03-2020,RI,2,3,,,,,,,,,,5
02-03-2020,WA,450,123,,,,,,,,,11,573
03-03-2020,MI,34,,,,,,,,,,,34
03-03-2020,MI,34,,,,,,,,,,,34
03-03-2020,RI,2,5,,,,,,,,,,7
03-03-2020,WA,534,264,,,,,,,,,14,798
04-03-2020,AZ,2,27,,4,,,,,,,,29
04-03-2020,CA,53,462,,,,,,,,,,515
04-03-2020,FL,2,24,,,,,,,,,,26
04-03-2020,GA,2,,,,,,,,,,,2
04-03-2020,IL,4,124,,,,,,,,,,128
04-03-2020,MI,52,,,,,,,,,,,52
04-03-2020,MI,52,,,,,,,,,,,52
04-03-2020,NC,1,,,,,,,,,,,1
04-03-2020,NH,2,10,,,,,,,,,,12
04-03-2020,NY,6,48,,,,,,,,,,54
04-03-2020,OR,3,29,,,,,,,,,,32
04-03-2020,RI,2,15,,,,,,,,,,17
04-03-2020,SC,0,5,,,,,,,,,,5
04-03-2020,TX,1,,,,,,,,,,,1
04-03-2020,WA,626,417,,,,,,,,,16,1043
04-03-2020,WI,1,19,,,,,,,,,,20
04-03-2020,WI,1,19,,,,,,,,,,20
05-03-2020,AZ,2,28,,5,,,,,,,,30
05-03-2020,CA,53,462,,,,,,,,,,515
05-03-2020,CO,0,19,,,,,,,,,,19
05-03-2020,DC,0,6,,,,,,,,,,6
05-03-2020,FL,9,31,,,,,,,,,,40
05-03-2020,GA,2,,,,,,,,,,,2
05-03-2020,IL,5,165,,,,,,,,,,170
05-03-2020,MD,0,17,,,,,,,,,,17
05-03-2020,MI,72,8,,,,,,,,,,80
05-03-2020,MI,72,8,,,,,,,,,,80
05-03-2020,NC,1,,,,,,,,,,,1
05-03-2020,NE,0,17,,,,,,,,,,17
05-03-2020,NH,2,16,,,,,,,,,,18
05-03-2020,NJ,1,,,,,,,,,,,1
05-03-2020,NV,1,14,,,,,,,,,0,15
05-03-2020,NY,22,76,,,,,,,,,,98
05-03-2020,OH,0,7,,,,,,,,,,7
05-03-2020,OR,3,45,,,,,,,,,,48
05-03-2020,RI,3,19,,,,,,,,,,22
05-03-2020,SC,0,5,,,,,,,,,,5
05-03-2020,TN,1,,,,,,,,,,,1
05-03-2020,TX,1,,,,,,,,,,,1
05-03-2020,VA,0,18,,,,,,,,,,18
05-03-2020,WA,731,672,,,,,,,,,20,1403
05-03-2020,WI,1,19,,,,,,,,,,20
05-03-2020,WI,1,19,,,,,,,,,,20
06-03-2020,AK,0,8,,,,,,,,,0,8
06-03-2020,AR,0,6,,,,,,,,,,6
06-03-2020,AZ,3,33,,6,,,,,,,,36
06-03-2020,CA,60,462,,,,,,,,,,522
